weekday,time,show,date_scraped,songs_played
Sunday,8am - 9am,Local Music Mix,2022-02-11,"{'Cactus Lee': 'Dave Saves', 'Sara Hickman with Kristin DeWitt': 'The Train Song', 'Austin Lounge Lizards': 'Strange Noises in the Dark', 'Broken Gold': 'Ambulance Faces', 'Dead Animal': 'Praise to the Queen', 'David Rovics': 'Free Abu Sakha', 'Candace Bellamy': 'Skies Are Grey', 'Gary Graves with Ravner Salinas': 'Love is a Dangerous Thing', 'Bee vs. Moth': 'Ugly is the New Black', 'Dwarf Nebula': ""Comin' Around"", 'fortune my foe': 'Lachrimae Pavan', 'Ghosts Along The Brazos': 'Los Brazos de Dios', 'Opposite Day': 'Day Of The Triffids', 'Why Bonnie': 'Voice Box', 'Potential Johns': ""Why'd You Walk Away"", 'Prima Donnas': 'Headfull of Pills', 'Riverboat Gamblers': 'Ice Water', 'Radioactivity': 'World of Pleasure', 'Rod Moag': 'Eight More Miles To Louisville', 'Ramsay Midwood': 'Maybelline Grease', 'Semihelix': 'Only to go on', 'Stop Motion Orchestra': 'Way To Sarov', 'Teri Joyce': 'Kitchen Radio', 'The Bellfuries': 'You Must Be A Loser', 'The Sword': 'Eyes Of The Stormwitch', 'Tony Harrison': 'Baby That Would Sure Go Good', 'Walter Hyatt': 'Teach Me About Love', 'Willie Nelson': ""I'd Have To Be Crazy"", 'Alex Coke': 'Thank You Tony', 'Daniel Johnston': 'True Love Will Find You In The End', 'Holy Wave': ""I'm Not Living in the Past Anymore"", 'Danny & The Nightmares': 'Haunted House', 'Rosie Flores': 'Tremolo', 'The Semi': 'Modulars', 'Hunt Sales Memorial': 'One Day', 'Fee Lion': 'On Me', 'Freddie Steady Krc with Bill Browder': ""You're No Good for Me"", 'Chandra Washington': 'spontaneous vocal improvisation', 'Gina Chavez': 'Miles de Millas', 'Living Grateful': 'Brownstone Gals', 'Hamerzya': ""London '79"", 'Lucid Dementia': 'When The World Leaves You Behind', 'DAYEATER': 'Plastic Ratt', 'Mirror Travel': 'Mexico', 'Mr.Kitty': 'Not Dead Yet', 'New Neon': 'New Pulse', 'Kat Edmonson': 'One Fine Day', 'Akina Adderley & The Vintage Playboys': 'Hypnotized', 'Two High String Band': 'Hello City Limits', 'Harlem': 'Cloud Pleaser', 'Buttercup': 'National Spelling Bee Contest', 'Rescue Mission': 'My Neon Lover', 'Rio Waves': ""Don't Let Me Go"", 'Shapes Have Fangs': 'Rattle and Confuse Me', 'Sin + Seraphim': 'Redemption', 'Naga Brujo': 'Chaodyssey', 'SINE': 'Love High', 'Amanda Pascali': 'Tarantella Avion', 'Tameca Jones': 'Hot And Bothered', 'Carrie Elkins & Danny Schmidt': 'Proposal Song', 'Single Lash': 'Frozen Honey', 'George Kinney': 'When You Cry', 'Grace Pettis': 'Abilene', 'Don Diego Trio': 'Suspicious', 'James Hand': 'Just an Old Man with an Old Song', 'Temple of Angels': 'Cerise Dream', 'The Nimbus': 'Fever', 'Bill Callahan': 'If You Could Touch Her At All', 'Blastfamous USA': 'Not Your City', 'Honky': ""Baby Don't Slow Down"", 'Glass Eye': 'Endless Day', 'Spray Paint': 'Fleshy Boy', 'Marijuana Sweet Tooth': 'Utopia, TX', 'UtinUtin': 'Your House', 'WE Are The Asteroid': 'Trilogy', ""Uncle Walt's Band"": ""Don't You Think I Feel It Too"", 'The Octopus Project': ""Bees Bein' Strugglin'"", 'Bo Bud Greene': 'Flaw', 'Chronophage': 'Not to Dream Again', 'Townes Van Zandt': 'Fare Thee Well, Miss Carousel', 'Emora': 'The Seed', 'Espectrostatic': 'Escape from Witchtropolis', 'Excercise': 'Information', 'Explosives': 'A Girl Like You', 'Hi, Gene!': 'Grapeland', ""Nick Garza's Get Along"": 'Muchacha', 'Brian Scartocci': 'Sweet Funky Nonsense', 'The Sun Machine': 'Sound Of Dissent', 'Eddie Spaghetti': 'Empty', 'Inhalants': 'It Was Hyper Real', 'Indrajit': 'Afternoon Raga', 'Guy Forsyth': ""She's Crazy Now"", 'Emjae Ross and Bill Blue Bushey': 'Around the World Blues', 'Jason Roberts and Rick McRae': 'I Hear You Talkin’', 'Black Ladder': 'Magic Doctor', 'Blushing': 'Control', 'Butthole Surfers': 'I Saw an X', 'Crocodile': 'I Was Dreaming', 'Del Castillo': 'Brotherhood', 'Grupo Fantasma': 'Arroz Con Frijoles', 'Future Clouds & Radar': 'Backseat Silver Jet Sighter', 'Jeff Hughes & Chaparral': 'Just Like Heaven', 'Sunray Project': 'Yellam Aliparre', 'The Aaron Clift Experiment': 'Kissed By The Sun', 'Thirteen Of Everything': 'Life Is Change', 'Pelvis Wrestley': 'Susanna', 'Bad Boy Croy': 'Family Man', 'Caleb de Casper': 'Elephants', 'Pork': 'Grand Slam Baby', 'Rocket 808': 'Rocket 808', 'Little Mazarn': 'My Love Is All Around You', 'Sam Pankey, Daniel Dufour, Damian Garcia': '501', 'Dana Cooper': 'Harry Truman Built a Road', 'John Lilly': 'In Time', 'Ian McDougal of Broken Gold': 'Turning Blue', ""Hot Pickin' 57s"": 'Back in the Day', 'John Schooley and Walter Daniels': 'Dead Mall Blues', 'Wild Seeds': 'She Said', 'Graham Reynolds': 'Police Station', 'Charlie Belle': 'Six', 'Emme': 'Enjoy The Silence', 'Hovvdy': 'Mr. Lee', 'Jerry David DeCicca': 'Splendid Isolation', 'Kay Odyssey': 'Reach To You', 'Future Museums': 'Leaving the Vessel', 'Orange Mothers': 'Family Affair', 'Brandon DeMaris': 'Family', 'Aimee Bobruk': 'A Day In The Life', 'Hot Club of Cowtown': 'Sleep', 'Origami Ghosts': 'Keeper Sutherland', 'Ringo Deathstarr': 'Cotton Candy Clouds', 'Sixteen Deluxe': 'Hit It', 'Kalu and the Electric Joint': 'Can of Invisible Paint', 'Jonathan Edwards': 'Sunshine', 'Jon Hogan and Maria Moss': 'Leaky Tent', 'Spoon': 'Dismember', 'The 13th Floor Elevators': 'She Lives', 'Being Dead': 'Wild Man', 'Kris Schultz': 'Return Address', 'Twigs & Yarn': 'Lend A Hand', 'Crisman': 'Icee Blue', 'Amy Cook': 'Get It RIght', 'Suzanna Choffel': 'Archer', 'Crooks': 'River Road', 'Wine And Revolution': 'Trees', 'Butch Hancock': 'Chase', 'Lucinda Williams': 'Lonely girls', 'Keanu Reef': 'Central Texas Surf', 'Roky Erickson': 'Two Headed Dog', 'Sara Hickman': 'Tasty Sweet', 'Andrea Dawson': ""You Just Can't Get It Sittin' Down"", 'Joe King Carrasco': 'Pachuco Hop', 'Bob Schneider': 'Let The Light In', 'Michael Martin Murphey': ""Geronimo's Cadillac"", ""Mo' Debly"": 'Element', 'Jon Langford': ""Hell's Roof"", 'Jimmy LaFave': 'Desperate Men Do Desperate Things', 'My Exotic Other': 'My Exotic Other', 'Ronnie Lane': 'Kuschty Rye'}"
Sunday,9am - 10am,Nobody's Happy Hour,2022-02-11,"{'John Eddie': ""Nobody's Happy"", 'Tom Waits': '', 'Louis Jordan And His Tympani Five': ""You Can't Get That No More"", 'Sam Cooke': 'Another Saturday Night', 'Michael Patrick': ""It's Not me, It's You"", 'Jimmie Dale Gilmore': 'Headed for a Fall', 'Mary Cutrufello': 'Miss You #3', 'Gurf Morlix': 'Lowdown Dismal Blues', 'Leonard Cohen': ""Hey, That's No Way To Say Goodbye"", 'Garland Jeffries': 'Help', 'The Clash': 'I Fought The Law', 'Richard And Linda Thompson': 'Walking On The Wire'}"
Sunday,10am - 12pm,Strictly Bluegrass,2022-02-11,"{'Old & In The Way': 'Drifting To Far From The Shore', 'The Nitty Gritty Dirt Band & Alison Krauss': 'Catfish John', 'The Stanley Brothers': 'Angel Band', 'IIIrd Tyme Out': 'Footprints In The Snow', 'Alan Munde & Billy Bright': 'Methodist Preacher', 'John Hartford': 'Take Me Back to My Mississippi River Home', 'The Nitty Gritty Dirt Band': 'Tennessee Stud', 'The Nitty Gritty Dirt Band & Matraca Berg & Emmylou Harris': 'Oh Cumberland', 'Robert Earl Keen': 'East Virginia Blues', 'The Nitty Gritty Dirt Band & Iris Dement': 'Mama’s Opry', 'Elephant Revival': 'Ring Around The Moon', 'The Greencards': 'Waiting On The Night', 'The New Grass Revival': 'Angel Eyes', 'MilkDrive': 'Camp Schnool', 'Della Mae': 'Maybeline', 'Dolly Parton': 'I’m Going To Sleep With One Eye Open', 'Billy Strings': 'Taking Water', 'Jimmie Rodgers': 'I’m Free From The Chain Gang Now', 'Merle Travis': 'John Henry', 'Wood & Wire': 'Galveston', 'Mac Wiseman': 'Dreaming Of A Little Cabin', 'The Meat Purveyors & Rick Cookin’ Sherry': 'John Hardy', 'Bill Monroe & Doc Watson': 'Turkey In The Straw', 'Ricky Scaggs': 'Toy Heart', 'The Soggy Bottom Boys': 'In The Jailhouse Now'}"
Sunday,12pm - 2pm,Jamaican Gold,2022-02-11,"{'Raymond Harper': 'Safari', 'The Wailers': 'Road Block Dub', 'The Skatalites': 'Simmer Down', 'Delroy Wilson': 'Put It On', 'Hepcat': 'Hooligans', 'Derrick Harriott': 'Do I Worry', 'Jiving Juniors': 'Over The River', 'Western Standard Time': 'Monkey Ska', 'Ike Bennett & The Crystalites': 'Stop That Man', 'Keith & Tex': 'Tonight', 'Scotty': 'Children Children', 'The Crystalites': 'Slippery', 'The Ethiopians': 'No Baptism', 'Derrick Harriott & The Crystalites': 'Musical Madness', 'The Chuckles': 'Run Nigel Run', 'Wanachi': 'Black Root', 'Martha Velez': 'Bend Down Low', 'Bob Marley & The Wailers': ""Burnin' And Lootin'"", 'Jackie Edwards': 'So Jah Seh', 'The Aggrovators': 'So Jah Seh Dub', 'Dennis Brown': 'Slave Driver', 'Monty Alexander': 'The Heathen', 'Bob & The Upsetters': 'Natural Mystic', 'Bob Marley': 'Smile Jamaica Version', 'Johnny Clarke': 'Academy Award Version', '21st Century Dub Band': 'Concrete Jungle'}"
Sunday,2pm - 3:30pm,Hip Hop Hooray,2022-02-11,"{'Big Boi': 'Daddy Fat Sax', 'Outkast': 'West Savannah', 'Notes Floats': 'Triple Dang Snap', 'Blakchyl feat. Tåsi': 'Homecoming', 'Goodie Mob': 'Dirty South', 'Kydd Jones feat. Quin NFN': 'Jet Seats', 'Run the Jewels feat. Big Boi': 'Banana Clipper', 'Kanye West feat. Mos Def': 'Two Words', 'J Dilla': 'Move', 'Purple Ribbon All': 'Stars', 'Common': ""Time Travelin'""}"
Sunday,4:30pm - 5:30pm,Love On The Dole,2022-02-11,"{'Hot & Cold': 'Red Leather Set', 'Chrome': 'Static Gravity', 'Travel Agency': 'She Understands', 'United States of America': 'Garden of Earthly Delights', 'Butthole Surfers': 'Cherub', 'Kikagaku Moyo': 'Majupose', 'Carter/Keen/Shaw': 'Magic People', 'Groundspeed': 'In a Dream', 'Agua De Regaliz': ""Waiting in the Munster's Garden"", 'Index': 'Shockwave', 'Mdou Moctar': 'Anna', 'Cul De Sac': 'Death Kit Train', 'Faine Jade': 'Cold Winter Sun'}"
Sunday,5:30pm - 7pm,Virtual Noise,2022-02-11,"{'Jethro Tull': 'Shoshana Sleeping', 'Porcupine Tree': 'Sleep Together', 'Amon Düül II': ""Sleepwalker's Timeless Bridge"", 'Van der Graaf Generator': 'The Sleepwalkers', ""Todd Rundgren's Utopia"": 'The Ikon', 'Astra': 'Silent Sleep', 'Somnambulist': 'Frotus', 'Inner Ear Brigade': 'Somnambulist Subversion', 'Sam Arnold': 'Somnamulonimbus', 'XTC': 'The Somnambulist'}"
Sunday,7pm - 8:30pm,Fade To Yellow,2022-02-11,"{'Whale Fall': 'The Sondersong', 'Autodealer': 'Wave Formation', 'Warmth': 'Afterwards', 'Xander Harris': 'Nothing Behind The Eyes', 'Isolation Drills': 'Transgression', 'A Lake Of Ayes': 'Chrysalism', 'Old Solar': 'Be Still, And Know That I AM', 'Lymbyc System': 'Birds', 'Corey Mastrangelo': '808', 'Rezo Glonti': 'Pulse Added Two'}"
Sunday,8:30pm - 10pm,Commercial Suicide,2022-02-11,"{'Frederic Rzewski': 'Coming Together', 'Moor Mother': 'Act 2', 'Tyondai Braxton': 'The Violent Light Through Falling Shards', 'Rahsaan Roland Kirk': 'Salvation and Reminiscing', 'Natalie Hinderas & Olly Wilson': 'Piano Piece For Piano And Electronic Sound', 'John Coltrane': 'Kulu Sé Mama', 'George Lewis & Douglas Ewart': 'The Imaginary Suite'}"
Sunday,10pm - Overnight,Local Music Mix,2022-02-11,"{'Cactus Lee': 'Dave Saves', 'Sara Hickman with Kristin DeWitt': 'The Train Song', 'Austin Lounge Lizards': 'Strange Noises in the Dark', 'Broken Gold': 'Ambulance Faces', 'Dead Animal': 'Praise to the Queen', 'David Rovics': 'Free Abu Sakha', 'Candace Bellamy': 'Skies Are Grey', 'Gary Graves with Ravner Salinas': 'Love is a Dangerous Thing', 'Bee vs. Moth': 'Ugly is the New Black', 'Dwarf Nebula': ""Comin' Around"", 'fortune my foe': 'Lachrimae Pavan', 'Ghosts Along The Brazos': 'Los Brazos de Dios', 'Opposite Day': 'Day Of The Triffids', 'Why Bonnie': 'Voice Box', 'Potential Johns': ""Why'd You Walk Away"", 'Prima Donnas': 'Headfull of Pills', 'Riverboat Gamblers': 'Ice Water', 'Radioactivity': 'World of Pleasure', 'Rod Moag': 'Eight More Miles To Louisville', 'Ramsay Midwood': 'Maybelline Grease', 'Semihelix': 'Only to go on', 'Stop Motion Orchestra': 'Way To Sarov', 'Teri Joyce': 'Kitchen Radio', 'The Bellfuries': 'You Must Be A Loser', 'The Sword': 'Eyes Of The Stormwitch', 'Tony Harrison': 'Baby That Would Sure Go Good', 'Walter Hyatt': 'Teach Me About Love', 'Willie Nelson': ""I'd Have To Be Crazy"", 'Alex Coke': 'Thank You Tony', 'Daniel Johnston': 'True Love Will Find You In The End', 'Holy Wave': ""I'm Not Living in the Past Anymore"", 'Danny & The Nightmares': 'Haunted House', 'Rosie Flores': 'Tremolo', 'The Semi': 'Modulars', 'Hunt Sales Memorial': 'One Day', 'Fee Lion': 'On Me', 'Freddie Steady Krc with Bill Browder': ""You're No Good for Me"", 'Chandra Washington': 'spontaneous vocal improvisation', 'Gina Chavez': 'Miles de Millas', 'Living Grateful': 'Brownstone Gals', 'Hamerzya': ""London '79"", 'Lucid Dementia': 'When The World Leaves You Behind', 'DAYEATER': 'Plastic Ratt', 'Mirror Travel': 'Mexico', 'Mr.Kitty': 'Not Dead Yet', 'New Neon': 'New Pulse', 'Kat Edmonson': 'One Fine Day', 'Akina Adderley & The Vintage Playboys': 'Hypnotized', 'Two High String Band': 'Hello City Limits', 'Harlem': 'Cloud Pleaser', 'Buttercup': 'National Spelling Bee Contest', 'Rescue Mission': 'My Neon Lover', 'Rio Waves': ""Don't Let Me Go"", 'Shapes Have Fangs': 'Rattle and Confuse Me', 'Sin + Seraphim': 'Redemption', 'Naga Brujo': 'Chaodyssey', 'SINE': 'Love High', 'Amanda Pascali': 'Tarantella Avion', 'Tameca Jones': 'Hot And Bothered', 'Carrie Elkins & Danny Schmidt': 'Proposal Song', 'Single Lash': 'Frozen Honey', 'George Kinney': 'When You Cry', 'Grace Pettis': 'Abilene', 'Don Diego Trio': 'Suspicious', 'James Hand': 'Just an Old Man with an Old Song', 'Temple of Angels': 'Cerise Dream', 'The Nimbus': 'Fever', 'Bill Callahan': 'If You Could Touch Her At All', 'Blastfamous USA': 'Not Your City', 'Honky': ""Baby Don't Slow Down"", 'Glass Eye': 'Endless Day', 'Spray Paint': 'Fleshy Boy', 'Marijuana Sweet Tooth': 'Utopia, TX', 'UtinUtin': 'Your House', 'WE Are The Asteroid': 'Trilogy', ""Uncle Walt's Band"": ""Don't You Think I Feel It Too"", 'The Octopus Project': ""Bees Bein' Strugglin'"", 'Bo Bud Greene': 'Flaw', 'Chronophage': 'Not to Dream Again', 'Townes Van Zandt': 'Fare Thee Well, Miss Carousel', 'Emora': 'The Seed', 'Espectrostatic': 'Escape from Witchtropolis', 'Excercise': 'Information', 'Explosives': 'A Girl Like You', 'Hi, Gene!': 'Grapeland', ""Nick Garza's Get Along"": 'Muchacha', 'Brian Scartocci': 'Sweet Funky Nonsense', 'The Sun Machine': 'Sound Of Dissent', 'Eddie Spaghetti': 'Empty', 'Inhalants': 'It Was Hyper Real', 'Indrajit': 'Afternoon Raga', 'Guy Forsyth': ""She's Crazy Now"", 'Emjae Ross and Bill Blue Bushey': 'Around the World Blues', 'Jason Roberts and Rick McRae': 'I Hear You Talkin’', 'Black Ladder': 'Magic Doctor', 'Blushing': 'Control', 'Butthole Surfers': 'I Saw an X', 'Crocodile': 'I Was Dreaming', 'Del Castillo': 'Brotherhood', 'Grupo Fantasma': 'Arroz Con Frijoles', 'Future Clouds & Radar': 'Backseat Silver Jet Sighter', 'Jeff Hughes & Chaparral': 'Just Like Heaven', 'Sunray Project': 'Yellam Aliparre', 'The Aaron Clift Experiment': 'Kissed By The Sun', 'Thirteen Of Everything': 'Life Is Change', 'Pelvis Wrestley': 'Susanna', 'Bad Boy Croy': 'Family Man', 'Caleb de Casper': 'Elephants', 'Pork': 'Grand Slam Baby', 'Rocket 808': 'Rocket 808', 'Little Mazarn': 'My Love Is All Around You', 'Sam Pankey, Daniel Dufour, Damian Garcia': '501', 'Dana Cooper': 'Harry Truman Built a Road', 'John Lilly': 'In Time', 'Ian McDougal of Broken Gold': 'Turning Blue', ""Hot Pickin' 57s"": 'Back in the Day', 'John Schooley and Walter Daniels': 'Dead Mall Blues', 'Wild Seeds': 'She Said', 'Graham Reynolds': 'Police Station', 'Charlie Belle': 'Six', 'Emme': 'Enjoy The Silence', 'Hovvdy': 'Mr. Lee', 'Jerry David DeCicca': 'Splendid Isolation', 'Kay Odyssey': 'Reach To You', 'Future Museums': 'Leaving the Vessel', 'Orange Mothers': 'Family Affair', 'Brandon DeMaris': 'Family', 'Aimee Bobruk': 'A Day In The Life', 'Hot Club of Cowtown': 'Sleep', 'Origami Ghosts': 'Keeper Sutherland', 'Ringo Deathstarr': 'Cotton Candy Clouds', 'Sixteen Deluxe': 'Hit It', 'Kalu and the Electric Joint': 'Can of Invisible Paint', 'Jonathan Edwards': 'Sunshine', 'Jon Hogan and Maria Moss': 'Leaky Tent', 'Spoon': 'Dismember', 'The 13th Floor Elevators': 'She Lives', 'Being Dead': 'Wild Man', 'Kris Schultz': 'Return Address', 'Twigs & Yarn': 'Lend A Hand', 'Crisman': 'Icee Blue', 'Amy Cook': 'Get It RIght', 'Suzanna Choffel': 'Archer', 'Crooks': 'River Road', 'Wine And Revolution': 'Trees', 'Butch Hancock': 'Chase', 'Lucinda Williams': 'Lonely girls', 'Keanu Reef': 'Central Texas Surf', 'Roky Erickson': 'Two Headed Dog', 'Sara Hickman': 'Tasty Sweet', 'Andrea Dawson': ""You Just Can't Get It Sittin' Down"", 'Joe King Carrasco': 'Pachuco Hop', 'Bob Schneider': 'Let The Light In', 'Michael Martin Murphey': ""Geronimo's Cadillac"", ""Mo' Debly"": 'Element', 'Jon Langford': ""Hell's Roof"", 'Jimmy LaFave': 'Desperate Men Do Desperate Things', 'My Exotic Other': 'My Exotic Other', 'Ronnie Lane': 'Kuschty Rye'}"
